old,new
προσωπων,προσωπον
κατυπεγραψα,καθυπεγραψα
ομβρυζα,οβρυζα
διμοιριεων,διμοιριαιων
επισυναγωμενων,επισυναγομενων
ορμομενοι,ορμωμενοι
διμοιριεους,διμοιριαιους
τανε,δανει
καικομισθαι,κεκομισθαι
καθοσιομενου,καθωσιωμενου
αλλελεγγυης,αλληλεγγυης
διμοιριεων,διμοιριαιων
αυθεντοι,αυθενται
βασιλειδα,βασιλιδα
πανευδεμονα,πανευδαιμονα
πολει,πολιν
αποδωται,αποδοται
καθοσιομενω,καθωσιωμενω
εραιας,ερεας
νειομηνια,νεομηνια
τουτου,τουτο
ει,εις
συμφωνι,συμφωνει
νειομηνια,νεομηνια
αρτευσεως,αρδευσεως
προστοκωμενης,προσδοκουμενης
περ,υπερ
σεγγραφη,συγγραφη
οφιλη,οφειλη
οφιλη,οφειλη
επαγομενον,επαγομενω
αρτευσεως,αρδευσεως
περισυνου,περισυνω
σιτοφορου,σιτοφορω
τρισκαιδεκατης,τρεισκαιδεκατης
αλωησεως,αλοησεως
συμφωνι,συμφωνει
οφιλη,οφειλη
διακονου,διακονος
θεοδοσιου,θεοδοσιος
χολο,χολος
μελισουργω,μελισσουργω
ρμδ,ρμε
στεφανο,στεφανος
εραιας,ερεας
εμμετρησεν,εμετρησεν
τοθεντων,δοθεντων
απα,απα
ορους,ορος
μυλοναρχη,μυλωναρχη
πλοιον,πλεον
ηρακλειος,ηρακλειου
λοτικια,λωδικια
σιτηρ,σιδηρωματου
ορους,ορος
ορους,ορος
ποταμιτοις,ποταμιταις
το,τον
δοθεντων,δοθεντος
εισεπραχθεντος,εισπραχθεντος
ορους,ορος
παρα,παρα
σιτρχ,σιδηροχαλκεως
κλιδιων,κλειδιων
ψαλμωτος,ψαλμωδος
πακτονοποιος,πακτωνοποιος
πακτονοποιοι,πακτωνοποιοι
γινονται,γινονται
ο,ο
ῥωγευθεντος,ῥογευθεντος
αγγια,αγγεια
αγγιου,αγγειου
τα,οι
αγγιου,αγγειου
χαλκοτυπων,χαλκοτυπων
μελισεως,μελισσεως
πακτονοποιων,πακτωνοποιων
διασημωτατου,διασημοτατου
αρχιατρος,αρχιιατρου
εαυτον,εμαυτον
καθʼ,κατʼ
τητε,τηδε
καθʼ,κατʼ
τητε,τηδε
τητε,διαδοχους
αηδεια,αηδια
ευρεσιλογιας,ευρησιλογιας
προσωμιλειν,προσομιλειν
ωμολογησεν,ωμολογησαν
υτοις,αυτοις
επει,επι
ετελιωθι,ετελειωθη
αυτης,αυτοις
ενδεαισθαι,ενδεεσθαι
γηρω,γηρα
αυριλια,αυρηλια
οικουσα,οικουση
εικας,εικαδι
ενοικειων,ενοικιων
καγω,και εγω
καγω,και εγω
κἂν,και αν
κἂν,και αν
ευρεσιλογιας,ευρησιλογιας
σημια,σημεια
σημια,σημεια
καθʼ,κατʼ
ενοικειον,ενοικιον
κκα[τ]α,κκα[τ]α
καγω,και εγω
συνεργαζασθαι,συνεργαζεσθαι
ενδειξασθαι,ενδεξασθαι
καματερων,καματηρων
ομοδυμαδον,ομοθυμαδον
συμπνεειν,συμπνειν
ωφελειμοις,ωφελιμοις
δανια,δανεια
εις,εις
καταγομενος,καταγομενοι
προτεταγμενας,προτεταγμενης
αρμοττονταα,αρμοττοντα
συνπνεειν,συνπνειν
οφελειμοις,ωφελιμοις
γογγισμου,γογγυσμου
εικας,εικαδι
αποσταινη,αποσταιη
ευρεσιλογιας,ευρησιλογιας
ωρμωμενος,ορμωμενος
δεικασασθαι,δικασασθαι
κεφαλεω,κεφαλαιω
ανηνοχλητον,ανενοχλητον
πειθομε,πειθομαι
ευρηθεις,ευρεθεις
εντολιμεω,εντολιμαιω
διαγον,διαγων
εντολιμεω,εντολιμαιω
πραγματευτες,πραγματευτης
δεδανισθαι,δεδανεισθαι
δεδανισθαι,δεδανεισθαι
επικερδιας,επικερδειας
εξων,εξον
λωτικιο,λωδικιου
ρεους,χρεους
σημια,σημεια
καθολιγου,καθολικου
εκδανισθεντων,εκδανεισθεντων
αραβαρχη,αλαβαρχη
τ,τ
παραμυθειας,παραμυθιας
ταυτας,ταυτα
προσηγεγες,προσηγαγες
παραμυθειας,παραμυθιας
γραμματειον,γραμματιον
διεραυνησω,διερευνησω
παραμυθειας,παραμυθιας
παραμυθειας,παραμυθιας
παραμυθειας,παραμυθιας
τρισκαιδεκατης,τρεισκαιδεκατης
κτηκμα,κτηκμα
εννατης,ενατης
πολλακεις,πολλακις
συντινοντα,συντεινοντα
καθʼ,κατʼ
ευγνομονησαι,ευγνωμονησαι
αρτευσεως,αρδευσεως
τρισκαιδεκατης,τρεισκαιδεκατης
αηδεια,αηδια
εχωμεν,εχομεν
πεπισμενοι,πεπεισμενοι
ακαταγνοστως,ακαταγνωστως
ποιησωμεν,ποιησομεν
περικυκλωθεν,περικυκλοθεν
ετοιμοι,ετοιμως
προειπαμεν,προειπομεν
φοιβαμμων,φοιβαμμωνος
αγροφυλακη,αγροφυλακες
ποιμηνες,ποιμενες
ομοσαμεν,ωμοσαμεν
εγγεγραμενοις,εγγεγραμμενοις
πασει,πασι
γραματα,γραμματα
αγροφυλακοι,αγροφυλακες
ταυτη,ταυτην
ομοσαμεν,ωμοσαμεν
θιον,θειον
οργον,ορκον
θεμενον,θεμενων
ωμολογια,ομολογια
μαρτηρω,μαρτυρω
ωμολογια,ομολογια
θημενων,θεμενων
ομολογιαν,ομολογια
δεομενο,δεομενου
καθʼ,κατʼ
καθʼ,κατʼ
αληθεινον,αληθινον
αποκαταλεπτου,αποκαταληπτου
νουνεχιας,νουνεχειας
γεναμενα,γενομενα
καθʼ,κατʼ
λωγιωτατω,λογιωτατω
εμποδειζειν,εμποδιζειν
ενηργουντες,ενεργουντες
επραιτευσεν,επραιδευσεν
καθʼ,κατʼ
βαζανοις,βασανοις
απητησας,απαιτησας
ελεινοτατων,ελεεινοτατων
ευκλεστατων,ευκλεεστατων
προσπιπτωμεν,προσπιπτομεν
διδασκωμεν,διδασκομεν
συννημμενας,συνημμενας
προικο͂ͅον,προικωον
δικαιοπραγεια,δικαιοπραγια
αγαλλωνται,αγαλλονται
τυρανικως,τυραννικως
επραιτευσαν,επραιδευσαν
σικνα,σιγνα
εξυπερετησαι,εξυπηρετησαι
ουκ’,ουχ
ουκ’,ουχ
διδασκωμεν,διδασκομεν
καρτουμενος,κρατουμενος
ητι,ητοι
κατελειπεν,κατελιπεν
ομιλησα,ωμιλησα
πισματι,πεισματι
ημερον,ημεραν
πισματα,πεισματα
εθεσπιζαν,εθεσπισαν
τηντε,τηνδε
βαχω,βακχω
"στιχαμαφορια*,","στιχαμαφορια*,"
τη πετια,τη πετια
αδικημενοις,ηδικημενοις
παση,πασι
παγκτισω,παγκτιστω
αμφοτερον,αμφοτερων
αρραβο͂νος,αρραβωνος
επιτοθεντος,επιδοθεντος
πεφανε,πεφηνε
αμφωτερον,αμφοτερων
ετοξε,εδοξε
τον,των
αμφωτερων,αμφοτερων
εγραφον,εγγραφον
προιγωων,προικωον
νομον,νομων
προιριμενω,προειρημενω
ταξν,ταξιν
τον,των
γαινωνιαν,κοινωνιαν
επιστιλατο,επεστειλατο
προειρειμενου,προειρημενου
προειρειμενου,προειρημενου
απεκρεψεν,απεκρυψεν
